$ cat cln.log
2022-11-18T15:28:11.866Z INFO    plugin-pay: cmd 43257 partid 210: No path found
2022-11-18T15:28:11.867Z INFO    plugin-pay: cmd 43257 partid 324: No path found
2022-11-18T15:28:11.867Z INFO    plugin-pay: cmd 43257 partid 326: No path found
2022-11-18T15:28:11.867Z INFO    plugin-pay: cmd 43257 partid 327: No path found
2022-11-18T15:28:11.867Z INFO    plugin-pay: cmd 43257 partid 331: No path found
2022-11-18T15:28:11.867Z INFO    plugin-pay: cmd 43257 partid 333: No path found
2022-11-18T15:28:11.868Z INFO    plugin-pay: cmd 43257 partid 334: No path found
2022-11-18T15:28:11.868Z INFO    plugin-pay: cmd 43257 partid 336: No path found
2022-11-18T15:28:11.868Z INFO    plugin-pay: cmd 43257 partid 339: No path found
2022-11-18T15:28:11.868Z INFO    plugin-pay: cmd 43257 partid 340: No path found
2022-11-18T15:28:11.868Z INFO    plugin-pay: cmd 43257 partid 341: No path found
2022-11-18T15:28:11.869Z INFO    plugin-pay: cmd 43257 partid 342: No path found
2022-11-18T15:28:11.869Z INFO    plugin-pay: cmd 43257 partid 346: No path found
2022-11-18T15:28:11.869Z INFO    plugin-pay: cmd 43257 partid 347: No path found
2022-11-18T15:28:11.869Z INFO    plugin-pay: cmd 43257 partid 348: No path found
2022-11-18T15:28:11.869Z INFO    plugin-pay: cmd 43257 partid 214: No path found
2022-11-18T15:28:11.869Z INFO    plugin-pay: cmd 43257 partid 226: No path found
2022-11-18T15:28:11.870Z INFO    plugin-pay: cmd 43257 partid 228: No path found
2022-11-18T15:28:11.870Z INFO    plugin-pay: cmd 43257 partid 230: No path found
2022-11-18T15:28:11.870Z INFO    plugin-pay: cmd 43257 partid 233: No path found
2022-11-18T15:28:11.870Z INFO    plugin-pay: cmd 43257 partid 351: No path found
2022-11-18T15:28:11.871Z INFO    plugin-pay: cmd 43257 partid 354: No path found
2022-11-18T15:28:11.871Z INFO    plugin-pay: cmd 43257 partid 357: No path found
2022-11-18T15:28:11.871Z INFO    plugin-pay: cmd 43257 partid 236: No path found
2022-11-18T15:28:11.871Z INFO    plugin-pay: cmd 43257 partid 237: No path found
2022-11-18T15:28:11.872Z INFO    plugin-pay: cmd 43257 partid 238: No path found
